,Company,PriceRs.,Day HighRs.
0,"
Fabtech Tech. Clean
",289.30,289.30
1,"
Jaykay Enterprises
",165.10,167.00
2,"
PG Foils
",315.70,330.00
3,"
Aarnav Fashions
",73.52,74.90
4,"
MPS
",2480.15,2513.40
5,"
Indobell Insulations
",137.00,142.30
6,"
Aeroflex Industries
",244.80,262.20
7,"
Fervent Synergies
",31.58,31.58
8,"
Tera Software
",241.75,241.75
9,"
GTV Engineering
",701.50,736.95
10,"
Colab Cloud Platform
",39.85,39.85
11,"
A-1
",427.10,435.00
12,"
D&H India
",248.20,256.50
13,"
Trident Texofab
",183.35,190.00
14,"
Bhatia Colour Chem
",270.20,288.60
